2,6,8,13,11,10,2,7,3,9,13,7,15,15,5
3,8,13,14,11,15,5,2,14,10,2,3,12,11,6
12,3,14,9,6,7,10,14,15,7,4,10,8,13,8
14,2,14,2,10,6,8,6,4,7,5,7,9,9,3
3,6,5,2,13,1,14,13,10,6,5,9,11,7,14
14,1,7,11,2,8,12,5,12,15,10,11,5,3,14
15,7,13,10,9,11,14,11,13,4,3,8,4,15,1
15,13,11,5,1,7,6,10,5,14,2,13,10,6,9
10,4,8,8,14,14,6,15,2,15,1,10,6,9,9
1,1,9,3,8,4,15,10,15,13,11,9,2,3,12
4,9,9,5,3,1,7,11,11,1,6,2,2,12,10
5,10,4,13,6,11,3,9,12,12,15,11,1,6,5
9,9,10,3,13,12,10,1,6,4,12,15,3,13,8
2,15,6,11,10,9,2,14,14,6,12,15,7,10,13
10,11,11,1,14,3,8,6,8,12,7,13,5,12,15
